"","aircraft","dep_time","est_arr_time","flight_no","origin"
"38","B738","Sun 04:49PM","Sun 07:19PM"," AAL2739","Hato Int'l (CUR / TNCC)"
"39","B738","Sun 04:49PM","Sun 07:19PM"," AAL2739","Hato Int'l (CUR / TNCC)"
"40","B738","Sun 04:36PM","Sun 07:15PM"," AAL318","Robert L. Bradshaw Int'l (SKB / TKPK)"
"41","A319","Sun 03:56PM","Sun 07:11PM"," AAL1089","Grantley Adams Int'l (BGI / TBPB)"
"42","B789","Sun 05:13PM","Sun 07:07PM"," LAN592","Punta Cana Int'l (PUJ / MDPC)"
"44","B738","Sun 05:02PM","Sun 07:01PM"," AAL2468","Punta Cana Int'l (PUJ / MDPC)"
"48","B738","Sun 04:11PM","Sun 06:46PM"," AAL2219","Princess Juliana Int'l (SXM / TNCM)"
"50","B738","Sun 04:04PM","Sun 07:13PM"," AAL2295","Hewanorra Int'l (UVF / TLPL)"
"58","B738","Sun 04:11PM","Sun 06:46PM"," AAL2219","Princess Juliana Int'l (SXM / TNCM)"
"62","B738","Sun 03:25PM","Sun 06:36PM"," AAL982","Point Salines Int'l (GND / TGPY)"
"66","B752","Sun 03:59PM","Sun 06:20PM"," AAL1391","Cyril E King (STT / TIST)"
"73","B763","Sun 04:47PM","Sun 06:31PM"," AJT870","Cibao Int'l (Santiago Municipal) (STI / MDST)"
"75","A321","Sun 04:09PM","Sun 06:23PM"," AAL1613","Luis Munoz Marin Intl (SJU / TJSJ)"
"77","B738","Sun 03:48PM","Sun 06:18PM"," AAL1293","Henry E Rohlsen (STX / TISX)"
"88","B738","Sun 03:48PM","Sun 06:18PM"," AAL1293","Henry E Rohlsen (STX / TISX)"
"91","B763","Sun 04:18PM","Sun 06:11PM"," AJT872","Las Americas (SDQ / MDSD)"
"93","B738","Sun 03:21PM","Sun 06:02PM"," AAL1028","Queen Beatrix Int'l (AUA / TNCA)"
"95","B738","Sun 03:48PM","Sun 05:54PM"," PR-GTG","Punta Cana Int'l (PUJ / MDPC)"
"96","A319","Sun 03:04PM","Sun 05:52PM"," AAL2405","VC Bird Int'l (ANU / TAPA)"
"106","B738","Sun 03:41PM","Sun 05:24PM"," AAL1245","Cibao Int'l (Santiago Municipal) (STI / MDST)"
"119","A321","Sun 02:51PM","Sun 05:12PM"," AAL943","Cyril E King (STT / TIST)"
"127","B763","Sun 03:26PM","Sun 05:17PM"," UPS403","Las Americas (SDQ / MDSD)"
"132","B738","Sun 03:21PM","Sun 05:00PM"," AAL935","Gregorio Luperon Int'l (POP / MDPP)"
"133","","Sun 01:16PM","Sun 04:51PM"," CSQ712","Rafael Hernandez (BQN / TJBQ)"
"134","A321","Sun 01:29PM","Sun 04:49PM"," AAL2296","Grantley Adams Int'l (BGI / TBPB)"
"135","B752","Sun 02:27PM","Sun 04:48PM"," AAL1254","Luis Munoz Marin Intl (SJU / TJSJ)"
"141","B738","Sun 01:19PM","Sun 04:29PM"," AAL1550","Hewanorra Int'l (UVF / TLPL)"
"150","A321","Sun 02:33PM","Sun 04:32PM"," AAL1502","Punta Cana Int'l (PUJ / MDPC)"
"161","A321","Sun 02:00PM","Sun 03:52PM"," AAL987","Las Americas (SDQ / MDSD)"
"181","B738","Sun 01:43PM","Sun 03:25PM"," AAL1179","Gregorio Luperon Int'l (POP / MDPP)"
"183","B734","Sun 01:26PM","Sun 03:17PM"," SWQ1996","Las Americas (SDQ / MDSD)"
"226","B738","Sun 12:02PM","Sun 01:54PM"," AAL1072","Las Americas (SDQ / MDSD)"
"271","B738","Sun 10:30AM","Sun 12:43PM"," AAL2415","Luis Munoz Marin Intl (SJU / TJSJ)"
"275","B738","Sun 09:55AM","Sun 12:25PM"," AAL1036","Queen Beatrix Int'l (AUA / TNCA)"
"276","B738","Sun 09:03AM","Sun 12:23PM"," BWA484","Piarco Int'l (POS / TTPP)"
"280","B763","Sun 09:56AM","Sun 12:08PM"," AAL1091","Luis Munoz Marin Intl (SJU / TJSJ)"
"287","B738","Sun 09:03AM","Sun 12:23PM"," BWA484","Piarco Int'l (POS / TTPP)"
"290","B763","Sun 10:14AM","Sun 12:02PM"," NAC805","Las Americas (SDQ / MDSD)"
"322","B738","Sun 08:04AM","Sun 10:27AM"," AAL2227","Henry E Rohlsen (STX / TISX)"
"333","A321","Sun 07:06AM","Sun 10:22AM"," AAL2725","Grantley Adams Int'l (BGI / TBPB)"
"334","A321","Sun 07:06AM","Sun 10:22AM"," AAL2725","Grantley Adams Int'l (BGI / TBPB)"
"340","B738","Sun 07:14AM","Sun 09:55AM"," AAL1466","Robert L. Bradshaw Int'l (SKB / TKPK)"
"350","B738","Sun 07:19AM","Sun 09:53AM"," AAL910","Hato Int'l (CUR / TNCC)"
"363","B738","Sun 07:19AM","Sun 09:19AM"," AAL165","Punta Cana Int'l (PUJ / MDPC)"
"383","B738","Sun 07:10AM","Sun 08:59AM"," AAL1026","Las Americas (SDQ / MDSD)"
"390","B738","Sun 05:38AM","Sun 09:02AM"," AAL2282","Piarco Int'l (POS / TTPP)"
"395","B738","Sun 06:36AM","Sun 08:51AM"," AAL287","Luis Munoz Marin Intl (SJU / TJSJ)"
"398","B738","Sun 06:58AM","Sun 08:41AM"," AAL1306","Cibao Int'l (Santiago Municipal) (STI / MDST)"
"416","B738","Sun 05:54AM","Sun 07:47AM"," AAL1154","Las Americas (SDQ / MDSD)"
"532","","Sat 07:13PM","Sat 09:15PM"," GLO7732","Punta Cana Int'l (PUJ / MDPC)"
"533","","Sat 07:13PM","Sat 09:15PM"," GLO7732","Punta Cana Int'l (PUJ / MDPC)"
"545","B734","Sat 07:16PM","Sat 09:03PM"," SWQ1994","Las Americas (SDQ / MDSD)"
"548","B738","Sat 07:00PM","Sat 08:51PM"," AAL74","Las Americas (SDQ / MDSD)"
"564","B738","Sat 06:06PM","Sat 08:19PM"," AAL1355","Luis Munoz Marin Intl (SJU / TJSJ)"
"573","E75L","Sat 04:45PM","Sat 07:49PM"," RPA4393","Martinique Aime Cesaire (FDF / TFFF)"
"577","B738","Sat 04:06PM","Sat 07:30PM"," AAL2703","Piarco Int'l (POS / TTPP)"
"589","B738","Sat 04:46PM","Sat 07:23PM"," AAL2739","Hato Int'l (CUR / TNCC)"
"591","A319","Sat 03:55PM","Sat 07:18PM"," AAL1089","Grantley Adams Int'l (BGI / TBPB)"
"593","B738","Sat 04:50PM","Sat 07:17PM"," AAL1293","Henry E Rohlsen (STX / TISX)"
"597","B738","Sat 03:51PM","Sat 06:59PM"," AAL2295","Hewanorra Int'l (UVF / TLPL)"
"604","A319","Sat 03:56PM","Sat 07:12PM"," AAL1427","Argyle International Airport (SVD / TVSA)"
"609","B738","Sat 04:15PM","Sat 06:52PM"," AAL2219","Princess Juliana Int'l (SXM / TNCM)"
"614","A321","Sat 04:24PM","Sat 06:40PM"," AAL1613","Luis Munoz Marin Intl (SJU / TJSJ)"
"619","B738","Sat 04:17PM","Sat 06:18PM"," AAL2468","Punta Cana Int'l (PUJ / MDPC)"
"622","B738","Sat 03:25PM","Sat 06:45PM"," AAL982","Point Salines Int'l (GND / TGPY)"
"626","A319","Sat 03:52PM","Sat 06:36PM"," AAL1379","Flamingo Int'l (BON / TNCB)"
"627","B752","Sat 04:11PM","Sat 06:33PM"," AAL1391","Cyril E King (STT / TIST)"
"628","A319","Sat 03:27PM","Sat 06:21PM"," AAL2405","VC Bird Int'l (ANU / TAPA)"
"630","","Sat 04:40PM","Sat 06:15PM"," PR-GUX","Punta Cana Int'l (PUJ / MDPC)"
"632","E75L","Sat 03:01PM","Sat 06:06PM"," RPA4613","Pointe (PTP / TFFR)"
"645","B738","Sat 03:29PM","Sat 05:56PM"," AAL1028","Queen Beatrix Int'l (AUA / TNCA)"
"651","A319","Sat 03:36PM","Sat 05:34PM"," AAL1481","Las Americas (SDQ / MDSD)"
"652","B738","Sat 03:47PM","Sat 05:34PM"," AAL1245","Cibao Int'l (Santiago Municipal) (STI / MDST)"
"654","B738","Sat 02:42PM","Sat 05:29PM"," AAL318","Robert L. Bradshaw Int'l (SKB / TKPK)"
"664","A321","Sat 02:59PM","Sat 05:24PM"," AAL943","Cyril E King (STT / TIST)"
"671","A321","Sat 01:34PM","Sat 04:58PM"," AAL2296","Grantley Adams Int'l (BGI / TBPB)"
"682","B738","Sat 03:16PM","Sat 04:57PM"," AAL935","Gregorio Luperon Int'l (POP / MDPP)"
"686","B752","Sat 02:35PM","Sat 04:46PM"," AAL1254","Luis Munoz Marin Intl (SJU / TJSJ)"
"691","A321","Sat 02:31PM","Sat 04:33PM"," AAL1502","Punta Cana Int'l (PUJ / MDPC)"
"692","B738","Sat 01:16PM","Sat 04:32PM"," AAL1550","Hewanorra Int'l (UVF / TLPL)"
"708","MD83","Sat 02:20PM","Sat 04:12PM"," WAL701","Punta Cana Int'l (PUJ / MDPC)"
"710","","Sat 02:07PM","Sat 04:02PM"," SWQ202","Punta Cana Int'l (PUJ / MDPC)"
"744","B738","Sat 01:40PM","Sat 03:22PM"," AAL1179","Gregorio Luperon Int'l (POP / MDPP)"
"761","","Sat 01:12PM","Sat 03:03PM"," SWQ1996","Las Americas (SDQ / MDSD)"
"775","A321","Sat 12:20PM","Sat 02:14PM"," AAL1072","Las Americas (SDQ / MDSD)"
"797","B738","Sat 10:33AM","Sat 12:49PM"," AAL2415","Luis Munoz Marin Intl (SJU / TJSJ)"
"804","B738","Sat 09:43AM","Sat 01:09PM"," BWA484","Piarco Int'l (POS / TTPP)"
"813","B763","Sat 10:07AM","Sat 12:18PM"," NAC811","Luis Munoz Marin Intl (SJU / TJSJ)"
"824","B763","Sat 09:54AM","Sat 12:08PM"," AAL1091","Luis Munoz Marin Intl (SJU / TJSJ)"
"825","B738","Sat 09:32AM","Sat 11:58AM"," AAL1036","Queen Beatrix Int'l (AUA / TNCA)"
"854","B738","Sat 08:15AM","Sat 10:42AM"," AAL2227","Henry E Rohlsen (STX / TISX)"
"861","A320","Sat 07:53AM","Sat 10:50AM"," AFR616","Pointe (PTP / TFFR)"
"866","A321","Sat 07:03AM","Sat 10:26AM"," AAL2725","Grantley Adams Int'l (BGI / TBPB)"
"883","B738","Sat 07:14AM","Sat 09:59AM"," AAL1466","Robert L. Bradshaw Int'l (SKB / TKPK)"
"897","B738","Sat 07:21AM","Sat 09:15AM"," AAL1026","Las Americas (SDQ / MDSD)"
"901","B738","Sat 07:20AM","Sat 09:24AM"," AAL165","Punta Cana Int'l (PUJ / MDPC)"
"909","B738","Sat 05:37AM","Sat 09:08AM"," AAL2282","Piarco Int'l (POS / TTPP)"
"916","B738","Sat 07:06AM","Sat 08:49AM"," AAL1306","Cibao Int'l (Santiago Municipal) (STI / MDST)"
"921","B738","Sat 06:32AM","Sat 09:06AM"," AAL910","Hato Int'l (CUR / TNCC)"
"923","B738","Sat 06:40AM","Sat 08:57AM"," AAL287","Luis Munoz Marin Intl (SJU / TJSJ)"
"948","B738","Sat 05:47AM","Sat 07:40AM"," AAL1154","Las Americas (SDQ / MDSD)"
"966","B763","Sat 04:48AM","Sat 07:03AM"," AJT8642","Luis Munoz Marin Intl (SJU / TJSJ)"
"978","C550","Sat 02:26AM","Sat 05:48AM"," N82ML","Cyril E King (STT / TIST)"
"1019","","Fri 10:00PM","Fri 11:46PM"," AJT852","Las Americas (SDQ / MDSD)"
"1022","B752","Fri 10:59PM","Sat 01:18AM"," UPS9720","Luis Munoz Marin Intl (SJU / TJSJ)"
"4","B738","Sun 06:59PM","Sun 07:41PM"," AAL2750","Abel Santa Maria (SNU / MUSC)"
"12","B772","Sun 04:34PM","Sun 07:56PM"," AAL9669","Dallas-Fort Worth Intl (KDFW)"
"18","A320","Sun 03:26PM","Sun 07:21PM"," AIJ2962","Lic. Benito Juarez Int'l (MEX / MMMX)"
"23","B738","Sun 06:59PM","Sun 07:41PM"," AAL2750","Abel Santa Maria (SNU / MUSC)"
"31","B772","Sun 04:34PM","Sun 07:56PM"," AAL9669","Dallas-Fort Worth Intl (KDFW)"
"37","A320","Sun 03:26PM","Sun 07:21PM"," AIJ2962","Lic. Benito Juarez Int'l (MEX / MMMX)"
"52","E545","Sun 03:19PM","Sun 07:04PM"," LXJ407","Chicago Midway Intl (KMDW)"
"57","A319","Sun 05:58PM","Sun 06:48PM"," AAL2816","Ignacio Agramonte Int'l (CMW / MUCM)"
"63","E170","Sun 04:03PM","Sun 06:35PM"," RPA4432","New Orleans Intl (KMSY)"
"65","MD11","Sun 03:14PM","Sun 06:24PM"," FDX303","Memphis Intl (KMEM)"
"70","B763","Sun 03:42PM","Sun 06:41PM"," FDX104","Memphis Intl (KMEM)"
"78","B737","Sun 02:44PM","Sun 06:18PM"," UAL8181","Chicago O'Hare Intl (KORD)"
"79","B763","Sun 02:27PM","Sun 06:16PM"," MAA6170","Lic. Benito Juarez Int'l (MEX / MMMX)"
"82","C56X","Sun 02:26PM","Sun 06:10PM"," EJA590","Tulsa Intl (KTUL)"
"84","B752","Sun 02:41PM","Sun 06:00PM"," AAL2239","Dallas-Fort Worth Intl (KDFW)"
"86","A319","Sun 01:34PM","Sun 05:53PM"," DAL1525","Minneapolis/St Paul Intl (KMSP)"
"89","B737","Sun 02:44PM","Sun 06:16PM"," UAL2081","Chicago O'Hare Intl (KORD)"
"99","A319","Sun 01:54PM","Sun 05:39PM"," AAL1031","Lic. Benito Juarez Int'l (MEX / MMMX)"
"105","B763","Sun 01:51PM","Sun 05:25PM"," LAE2871","Chicago O'Hare Intl (KORD)"
"131","F2TH","Sun 01:36PM","Sun 05:03PM"," EJA290","Chicago Midway Intl (KMDW)"
"144","E75S","Sun 12:42PM","Sun 04:23PM"," RPA4519","Kansas City Intl (KMCI)"
"151","A319","Sun 12:24PM","Sun 04:29PM"," AAL1955","Minneapolis/St Paul Intl (KMSP)"
"163","B752","Sun 12:25PM","Sun 03:45PM"," AAL2025","Dallas-Fort Worth Intl (KDFW)"
"167","B738","Sun 12:21PM","Sun 04:08PM"," AMX422","Lic. Benito Juarez Int'l (MEX / MMMX)"
"173","E170","Sun 12:18PM","Sun 03:43PM"," RPA4408","St Louis Lambert Intl (KSTL)"
"179","E75L","Sun 12:53PM","Sun 03:29PM"," RPA4450","Manuel Crescencio Rejon Int'l (MID / MMMD)"
"189","A320","Sun 12:22PM","Sun 03:28PM"," UAL225","Houston Bush Int'ctl (KIAH)"
"190","A319","Sun 11:40AM","Sun 03:26PM"," AAL264","Lic. Benito Juarez Int'l (MEX / MMMX)"
"193","B734","Sun 02:37PM","Sun 03:16PM"," SWQ731","Abel Santa Maria (SNU / MUSC)"
"198","A321","Sun 11:21AM","Sun 03:00PM"," AAL797","Dallas-Fort Worth Intl (KDFW)"
"201","B738","Sun 11:15AM","Sun 02:42PM"," AAL1438","Chicago O'Hare Intl (KORD)"
"204","E145","Sun 11:31AM","Sun 02:33PM"," ENY4170","Memphis Intl (KMEM)"
"219","B738","Sun 11:18AM","Sun 02:20PM"," AAL1614","Houston Bush Int'ctl (KIAH)"
"233","B739","Sun 10:29AM","Sun 02:01PM"," UAL212","Chicago O'Hare Intl (KORD)"
"241","A321","Sun 10:14AM","Sun 01:36PM"," AAL2507","Chicago O'Hare Intl (KORD)"
"245","A320","Sun 10:13AM","Sun 01:14PM"," UAL2013","Houston Bush Int'ctl (KIAH)"
"246","A319","Sun 09:11AM","Sun 01:13PM"," DAL1936","Minneapolis/St Paul Intl (KMSP)"
"250","E75S","Sun 10:11AM","Sun 01:37PM"," RPA4368","Austin-Bergstrom Intl (KAUS)"
"253","B734","Sun 12:49PM","Sun 01:25PM"," SWQ2212","Abel Santa Maria (SNU / MUSC)"
"262","B752","Sun 09:24AM","Sun 12:43PM"," AAL1276","Dallas-Fort Worth Intl (KDFW)"
"264","","Sun 11:37AM","02:22PM (?)"," XA-JVC","Manuel Crescencio Rejon Int'l (MID / MMMD)"
"265","A320","Sun 08:47AM","Sun 12:28PM"," VOI854","Lic. Benito Juarez Int'l (MEX / MMMX)"
"266","A319","Sun 11:52AM","Sun 12:24PM"," AAL2742","Juan Gualberto Gomez Int'l (VRA / MUVR)"
"270","A319","Sun 10:17AM","Sun 12:45PM"," AAL2069","New Orleans Intl (KMSY)"
"277","A319","Sun 11:52AM","Sun 12:24PM"," AAL2742","Juan Gualberto Gomez Int'l (VRA / MUVR)"
"279","E75L","Sun 09:57AM","Sun 12:15PM"," AAL4271","Pensacola Intl (KPNS)"
"285","B734","Sun 10:45AM","Sun 11:20AM"," SWQ771","Ignacio Agramonte Int'l (CMW / MUCM)"
"286","A320","Sun 06:57AM","Sun 11:16AM"," VOI997","Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL)"
"288","E75L","Sun 09:57AM","Sun 12:15PM"," RPA4271","Pensacola Intl (KPNS)"
"300","B734","Sun 10:19AM","Sun 11:04AM"," SWQ3152","Abel Santa Maria (SNU / MUSC)"
"303","E75L","Sun 07:37AM","Sun 10:55AM"," ASH6059","Houston Bush Int'ctl (KIAH)"
"304","B772","Sun 07:22AM","Sun 10:51AM"," AAL2386","Dallas-Fort Worth Intl (KDFW)"
"307","B738","Sun 07:23AM","Sun 11:12AM"," AMX412","Lic. Benito Juarez Int'l (MEX / MMMX)"
"314","E75L","Sun 07:13AM","Sun 10:47AM"," RPA4465","General Mariano Escobedo Int'l (MTY / MMMY)"
"315","E75L","Sun 06:07AM","Sun 10:44AM"," RPA4608","Minneapolis/St Paul Intl (KMSP)"
"317","E75L","Sun 07:13AM","Sun 10:47AM"," RPA4465","General Mariano Escobedo Int'l (MTY / MMMY)"
"318","E75L","Sun 06:07AM","Sun 10:44AM"," RPA4608","Minneapolis/St Paul Intl (KMSP)"
"321","A319","Sun 06:51AM","Sun 10:30AM"," AAL1498","Lic. Benito Juarez Int'l (MEX / MMMX)"
"324","B738","Sun 07:22AM","Sun 10:22AM"," AAL1841","Houston Bush Int'ctl (KIAH)"
"325","B772","Sun 07:22AM","Sun 10:51AM"," AAL2386","Dallas-Fort Worth Intl (KDFW)"
"329","B738","Sun 07:43AM","Sun 10:31AM"," AAL1770","Nashville Intl (KBNA)"
"341","B734","Sun 09:14AM","Sun 09:52AM"," SWQ513","Abel Santa Maria (SNU / MUSC)"
"342","E75L","Sun 06:15AM","Sun 09:50AM"," RPA4695","Kansas City Intl (KMCI)"
"343","A321","Sun 06:15AM","Sun 09:47AM"," AAL2438","Dallas-Fort Worth Intl (KDFW)"
"351","B738","Sun 07:23AM","Sun 09:50AM"," AAL2701","New Orleans Intl (KMSY)"
"356","A319","Sun 05:57AM","Sun 09:39AM"," AAL1604","San Antonio Intl (KSAT)"
"358","B738","Sun 06:09AM","Sun 09:34AM"," AAL2498","Chicago O'Hare Intl (KORD)"
"369","E170","Sun 06:27AM","Sun 09:30AM"," RPA4342","Houston Bush Int'ctl (KIAH)"
"378","A319","Sun 05:44AM","Sun 09:09AM"," AAL1593","Austin-Bergstrom Intl (KAUS)"
"380","A319","Sun 05:49AM","Sun 09:04AM"," AAL944","St Louis Lambert Intl (KSTL)"
"384","B738","Sun 05:51AM","Sun 09:17AM"," AAL1411","Chicago O'Hare Intl (KORD)"
"392","E75L","Sun 06:12AM","Sun 08:59AM"," RPA4471","Memphis Intl (KMEM)"
"399","B738","Sun 05:49AM","Sun 08:36AM"," AAL2831","Nashville Intl (KBNA)"
"401","A321","Sun 05:04AM","Sun 08:29AM"," AAL1042","Dallas-Fort Worth Intl (KDFW)"
"403","E145","Sun 05:59AM","Sun 08:15AM"," ENY3508","Pensacola Intl (KPNS)"
"406","E145","Sun 06:08AM","Sun 08:47AM"," ENY3380","Birmingham-Shuttlesworth Intl (KBHM)"
"407","B738","Sun 08:44AM","09:28AM (?)"," AAL351","Abel Santa Maria (SNU / MUSC)"
"408","A319","Sun 06:14AM","Sun 08:41AM"," AAL159","New Orleans Intl (KMSY)"
"437","B744","Sun 02:48AM","Sun 06:29AM"," GTI561","Lic. Benito Juarez Int'l (MEX / MMMX)"
"475","B763","Sat 11:26PM","Sun 02:24AM"," GTI3525","Houston Bush Int'ctl (KIAH)"
"490","B738","Sat 09:41PM","Sun 12:55AM"," AAL2720","Dallas-Fort Worth Intl (KDFW)"
"491","B738","Sat 09:03PM","Sun 12:31AM"," AAL922","Chicago O'Hare Intl (KORD)"
"496","A320","Sat 08:10PM","Sat 11:16PM"," UAL2146","Houston Bush Int'ctl (KIAH)"
"499","A319","Sat 09:28PM","Sat 10:41PM"," AAL1138","Antonio Maceo Int'l (SCU / MUCU)"
"501","A319","Sat 07:06PM","Sat 10:15PM"," AAL1235","Houston Bush Int'ctl (KIAH)"
"504","B738","Sat 07:41PM","Sat 11:28PM"," AMX428","Lic. Benito Juarez Int'l (MEX / MMMX)"
"514","B772","Sat 06:45PM","Sat 09:56PM"," AAL2206","Dallas-Fort Worth Intl (KDFW)"
"515","B772","Sat 06:35PM","Sat 09:47PM"," AAL1219","Dallas-Fort Worth Intl (KDFW)"
"519","A319","Sat 06:43PM","Sat 09:32PM"," AAL2625","Nashville Intl (KBNA)"
"520","B738","Sat 08:28PM","Sat 09:30PM"," AAL1482","Frank Pais (HOG / MUHG)"
"524","E145","Sat 07:14PM","Sat 09:48PM"," ENY3427","Pensacola Intl (KPNS)"
"544","A321","Sat 05:35PM","Sat 09:07PM"," AAL1277","Chicago O'Hare Intl (KORD)"
"551","E145","Sat 05:54PM","Sat 08:30PM"," ENY3841","Birmingham-Shuttlesworth Intl (KBHM)"
"555","B738","Sat 04:39PM","Sat 08:18PM"," AAL505","Lic. Benito Juarez Int'l (MEX / MMMX)"
"558","B738","Sat 04:35PM","Sat 08:08PM"," AAL1308","Chicago O'Hare Intl (KORD)"
"568","E75L","Sat 04:49PM","Sat 08:06PM"," RPA4565","Austin-Bergstrom Intl (KAUS)"
"578","A319","Sat 06:34PM","Sat 07:27PM"," AAL2816","Ignacio Agramonte Int'l (CMW / MUCM)"
"592","DC10","Sat 04:28PM","Sat 07:17PM"," FDX530","Memphis Intl (KMEM)"
"594","A319","Sat 03:39PM","Sat 07:13PM"," UAL2081","Chicago O'Hare Intl (KORD)"
"596","","Sat 02:58PM","Sat 07:04PM"," LET7283","Lic. Adolfo Lopez Mateos Int'l (TLC / MMTO)"
"603","B738","Sat 06:36PM","Sat 07:16PM"," AAL2750","Abel Santa Maria (SNU / MUSC)"
"606","B734","Sat 06:25PM","Sat 07:03PM"," SWQ513","Abel Santa Maria (SNU / MUSC)"
"617","A319","Sat 02:47PM","Sat 06:34PM"," AAL1031","Lic. Benito Juarez Int'l (MEX / MMMX)"
"621","B763","Sat 03:24PM","Sat 06:13PM"," FDX303","Memphis Intl (KMEM)"
"624","E75L","Sat 04:08PM","Sat 06:39PM"," RPA4432","New Orleans Intl (KMSY)"
"637","A319","Sat 01:42PM","Sat 05:48PM"," DAL1525","Minneapolis/St Paul Intl (KMSP)"
"641","A321","Sat 02:05PM","Sat 05:37PM"," AAL335","Chicago O'Hare Intl (KORD)"
"642","B752","Sat 02:46PM","Sat 06:05PM"," AAL2239","Dallas-Fort Worth Intl (KDFW)"
"643","A320","Sat 02:12PM","Sat 06:02PM"," AIJ5960","Lic. Benito Juarez Int'l (MEX / MMMX)"
"647","B734","Sat 05:13PM","Sat 05:46PM"," SWQ523","Ignacio Agramonte Int'l (CMW / MUCM)"
"658","A319","Sat 01:04PM","Sat 05:14PM"," AAL1955","Minneapolis/St Paul Intl (KMSP)"
"666","E75L","Sat 01:38PM","Sat 05:19PM"," RPA4519","Kansas City Intl (KMCI)"
"679","B752","Sat 01:13PM","Sat 04:40PM"," AAL2025","Dallas-Fort Worth Intl (KDFW)"
"685","B734","Sat 04:09PM","Sat 04:47PM"," SWQ3174","Frank Pais (HOG / MUHG)"
"707","B738","Sat 12:23PM","Sat 04:13PM"," AMX422","Lic. Benito Juarez Int'l (MEX / MMMX)"
"713","B738","Sat 12:43PM","Sat 03:58PM"," AAL797","Dallas-Fort Worth Intl (KDFW)"
"716","E145","Sat 12:46PM","Sat 03:50PM"," ENY4170","Memphis Intl (KMEM)"
"727","B737","Sat 12:46PM","Sat 03:43PM"," UAL225","Houston Bush Int'ctl (KIAH)"
"730","E75L","Sat 12:18PM","Sat 03:31PM"," ASH6276","Houston Bush Int'ctl (KIAH)"
"731","B738","Sat 12:17PM","Sat 03:31PM"," AAL1614","Houston Bush Int'ctl (KIAH)"
"733","B734","Sat 02:49PM","Sat 03:26PM"," SWQ553","Juan Gualberto Gomez Int'l (VRA / MUVR)"
"737","E75L","Sat 12:40PM","Sat 03:16PM"," RPA4438","Manuel Crescencio Rejon Int'l (MID / MMMD)"
"745","E75L","Sat 12:00PM","Sat 03:21PM"," RPA4368","Austin-Bergstrom Intl (KAUS)"
"765","A319","Sat 11:54AM","Sat 02:52PM"," AAL2069","New Orleans Intl (KMSY)"
"792","A319","Sat 09:13AM","Sat 01:20PM"," DAL1936","Minneapolis/St Paul Intl (KMSP)"
"793","B738","Sat 09:43AM","Sat 01:13PM"," AAL1438","Chicago O'Hare Intl (KORD)"
"796","E170","Sat 10:04AM","Sat 12:52PM"," RPA4271","Pensacola Intl (KPNS)"
